CODE2,ACTION
T001009,remove
T001031,remove
T001154,remove
T001148,remove
T001036,remove
T000387,remove
T000048,remove
T000019,remove
T000011,remove
T000026,remove
T001146,remove
T000325,remove
T000642,remove
T000654,remove
T000569,remove
T000570,remove
T001141,rot180NS
T001149,rot180NS
T001151,rot180NS
T001167,rot180NS
T000095,rot180NS
T001003,rot180NS
T001172,rot180NS
T001229,rot90Z
T001199,rot90Z
T001201,rot90Z
T001164,rot90Z
T001140,rot90Z
T001142,rot90Z
T000631,rot270Z
T000685,rot90Z
T001145,rot180Z
T001156,rot315Z
T000017,rot45Z
T000683,rot225Z
T000590,rot315Z
T001163,rot45Z
T000389,rot315Z
T001188,rot270Z
T000383,rot180Z
T000038,rot180Z
T000386,rot180Z
T000595,rot270Z
T000547,rot180Z

